2017-07-11 06:37:53.151902 7f2d07100cc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.45_head
2017-07-11 06:37:53.151910 7f2d07100cc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.48_head
2017-07-11 06:37:53.151922 7f2d07100cc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.4b_head
2017-07-11 06:37:53.151930 7f2d07100cc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.4d_head
2017-07-11 06:37:53.151967 7f2d07100cc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.4f_head
2017-07-11 06:37:53.151982 7f2d07100cc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.50_head
2017-07-11 06:37:53.151997 7f2d07100cc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.52_head
2017-07-11 06:37:53.152010 7f2d07100cc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.55_head
2017-07-11 06:37:53.152657 7f2d07100cc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.56_head
2017-07-11 06:37:53.152673 7f2d07100cc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.58_head
2017-07-11 06:37:53.152680 7f2d07100cc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.5b_head
2017-07-11 06:37:53.152693 7f2d07100cc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.5c_head
2017-07-11 06:37:53.152705 7f2d07100cc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.5d_head
2017-07-11 06:37:53.152713 7f2d07100cc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.5e_head
2017-07-11 06:37:53.152725 7f2d07100cc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.5f_head
2017-07-11 06:37:53.152748 7f2d07100cc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.62_head
2017-07-11 06:37:53.152761 7f2d07100cc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.63_head
